node_id	language	accept_tool	seed_license	third_party	provenance
java-01-compact-path	java	-	none	-	hand-authored
java-02-longest-common-dir	java	-	none	-	hand-authored
java-03-strip-prefix-dir	java	-	none	-	hand-authored
java-04-encode-decode-roundtrip	java	-	none	-	hand-authored
java-05-split-join-ext-roundtrip	java	-	none	-	hand-authored
java-06-visible-count	java	-	none	-	hand-authored
java-affine-cipher	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-all-your-base	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-alphametics	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-bank-account	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-book-store	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-bottle-song	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-bowling	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-change	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-circular-buffer	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-connect	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-custom-set	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-dominoes	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-food-chain	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-forth	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-go-counting	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-hangman	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-house	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-kindergarten-garden	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-ledger	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-mazy-mice	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-ocr-numbers	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-palindrome-products	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-phone-number	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-pig-latin	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-poker	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-pov	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-protein-translation	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-pythagorean-triplet	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-queen-attack	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-rational-numbers	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-react	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-resistor-color-trio	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-rest-api	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-satellite	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-series	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-sgf-parsing	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-simple-linked-list	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-state-of-tic-tac-toe	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-transpose	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-tree-building	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-twelve-days	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-two-bucket	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-variable-length-quantity	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-word-search	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-wordy	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-zebra-puzzle	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
java-zipper	java	gradle	none	Gradle-wrapper/Apache-2.0	exercism
javascript-affine-cipher	javascript	npm	MIT(Exercism)	-	exercism
javascript-alphametics	javascript	npm	MIT(Exercism)	-	exercism
javascript-beer-song	javascript	npm	MIT(Exercism)	-	exercism
javascript-binary	javascript	npm	MIT(Exercism)	-	exercism
javascript-book-store	javascript	npm	MIT(Exercism)	-	exercism
javascript-bottle-song	javascript	npm	MIT(Exercism)	-	exercism
javascript-bowling	javascript	npm	MIT(Exercism)	-	exercism
javascript-complex-numbers	javascript	npm	MIT(Exercism)	-	exercism
javascript-connect	javascript	npm	MIT(Exercism)	-	exercism
javascript-food-chain	javascript	npm	MIT(Exercism)	-	exercism
javascript-forth	javascript	npm	MIT(Exercism)	-	exercism
javascript-go-counting	javascript	npm	MIT(Exercism)	-	exercism
javascript-grade-school	javascript	npm	MIT(Exercism)	-	exercism
javascript-grep	javascript	npm	MIT(Exercism)	-	exercism
javascript-house	javascript	npm	MIT(Exercism)	-	exercism
javascript-killer-sudoku-helper	javascript	npm	MIT(Exercism)	-	exercism
javascript-ledger	javascript	npm	MIT(Exercism)	-	exercism
javascript-list-ops	javascript	npm	MIT(Exercism)	-	exercism
javascript-meetup	javascript	npm	MIT(Exercism)	-	exercism
javascript-ocr-numbers	javascript	npm	MIT(Exercism)	-	exercism
javascript-palindrome-products	javascript	npm	MIT(Exercism)	-	exercism
javascript-parallel-letter-frequency	javascript	npm	MIT(Exercism)	-	exercism
javascript-phone-number	javascript	npm	MIT(Exercism)	-	exercism
javascript-pig-latin	javascript	npm	MIT(Exercism)	-	exercism
javascript-poker	javascript	npm	MIT(Exercism)	-	exercism
javascript-promises	javascript	npm	MIT(Exercism)	-	exercism
javascript-queen-attack	javascript	npm	MIT(Exercism)	-	exercism
javascript-rational-numbers	javascript	npm	MIT(Exercism)	-	exercism
javascript-react	javascript	npm	MIT(Exercism)	-	exercism
javascript-rectangles	javascript	npm	MIT(Exercism)	-	exercism
javascript-resistor-color-trio	javascript	npm	MIT(Exercism)	-	exercism
javascript-rest-api	javascript	npm	MIT(Exercism)	-	exercism
javascript-robot-name	javascript	npm	MIT(Exercism)	-	exercism
javascript-say	javascript	npm	MIT(Exercism)	-	exercism
javascript-scale-generator	javascript	npm	MIT(Exercism)	-	exercism
javascript-simple-linked-list	javascript	npm	MIT(Exercism)	-	exercism
javascript-space-age	javascript	npm	MIT(Exercism)	-	exercism
javascript-state-of-tic-tac-toe	javascript	npm	MIT(Exercism)	-	exercism
javascript-sum-of-multiples	javascript	npm	MIT(Exercism)	-	exercism
javascript-tournament	javascript	npm	MIT(Exercism)	-	exercism
javascript-transpose	javascript	npm	MIT(Exercism)	-	exercism
javascript-triangle	javascript	npm	MIT(Exercism)	-	exercism
javascript-twelve-days	javascript	npm	MIT(Exercism)	-	exercism
javascript-two-bucket	javascript	npm	MIT(Exercism)	-	exercism
javascript-variable-length-quantity	javascript	npm	MIT(Exercism)	-	exercism
javascript-word-search	javascript	npm	MIT(Exercism)	-	exercism
javascript-wordy	javascript	npm	MIT(Exercism)	-	exercism
javascript-zebra-puzzle	javascript	npm	MIT(Exercism)	-	exercism
javascript-zipper	javascript	npm	MIT(Exercism)	-	exercism
py-add	python	-	none	-	hand-authored
python-01-compact-path	python	-	none	-	hand-authored
python-02-longest-common-dir	python	-	none	-	hand-authored
python-03-strip-prefix-dir	python	-	none	-	hand-authored
python-04-encode-decode-roundtrip	python	-	none	-	hand-authored
python-05-split-join-ext-roundtrip	python	-	none	-	hand-authored
python-06-visible-count	python	-	none	-	hand-authored
python-affine-cipher	python	-	none	-	exercism
python-beer-song	python	-	none	-	exercism
python-book-store	python	-	none	-	exercism
python-bottle-song	python	-	none	-	exercism
python-bowling	python	-	none	-	exercism
python-connect	python	-	none	-	exercism
python-dominoes	python	-	none	-	exercism
python-dot-dsl	python	-	none	-	exercism
python-food-chain	python	-	none	-	exercism
python-forth	python	-	none	-	exercism
python-go-counting	python	-	none	-	exercism
python-grade-school	python	-	none	-	exercism
python-grep	python	-	none	-	exercism
python-hangman	python	-	none	-	exercism
python-list-ops	python	-	none	-	exercism
python-paasio	python	-	none	-	exercism
python-phone-number	python	-	none	-	exercism
python-pig-latin	python	-	none	-	exercism
python-poker	python	-	none	-	exercism
python-pov	python	-	none	-	exercism
python-proverb	python	-	none	-	exercism
python-react	python	-	none	-	exercism
python-rest-api	python	-	none	-	exercism
python-robot-name	python	-	none	-	exercism
python-scale-generator	python	-	none	-	exercism
python-sgf-parsing	python	-	none	-	exercism
python-simple-linked-list	python	-	none	-	exercism
python-transpose	python	-	none	-	exercism
python-tree-building	python	-	none	-	exercism
python-two-bucket	python	-	none	-	exercism
python-variable-length-quantity	python	-	none	-	exercism
python-wordy	python	-	none	-	exercism
python-zebra-puzzle	python	-	none	-	exercism
python-zipper	python	-	none	-	exercism
rust-01-compact-path	rust	-	none	-	hand-authored
rust-02-longest-common-dir	rust	-	none	-	hand-authored
rust-03-strip-prefix-dir	rust	-	none	-	hand-authored
rust-04-encode-decode-roundtrip	rust	-	none	-	hand-authored
rust-05-split-join-ext-roundtrip	rust	-	none	-	hand-authored
rust-06-visible-count	rust	-	none	-	hand-authored
rust-accumulate	rust	cargo	none	-	exercism
rust-acronym	rust	cargo	none	-	exercism
rust-alphametics	rust	cargo	none	-	exercism
rust-book-store	rust	cargo	none	-	exercism
rust-bowling	rust	cargo	none	-	exercism
rust-decimal	rust	cargo	none	-	exercism
rust-dot-dsl	rust	cargo	none	-	exercism
rust-doubly-linked-list	rust	cargo	none	-	exercism
rust-fizzy	rust	cargo	none	-	exercism
rust-forth	rust	cargo	none	-	exercism
rust-gigasecond	rust	cargo	none	-	exercism
rust-grade-school	rust	cargo	none	-	exercism
rust-grep	rust	cargo	none	-	exercism
rust-luhn-from	rust	cargo	none	-	exercism
rust-macros	rust	cargo	none	-	exercism
rust-nucleotide-codons	rust	cargo	none	-	exercism
rust-ocr-numbers	rust	cargo	none	-	exercism
rust-parallel-letter-frequency	rust	cargo	none	-	exercism
rust-pig-latin	rust	cargo	none	-	exercism
rust-poker	rust	cargo	none	-	exercism
rust-react	rust	cargo	none	-	exercism
rust-robot-name	rust	cargo	none	-	exercism
rust-say	rust	cargo	none	-	exercism
rust-scale-generator	rust	cargo	none	-	exercism
rust-simple-cipher	rust	cargo	none	-	exercism
rust-two-bucket	rust	cargo	none	-	exercism
rust-variable-length-quantity	rust	cargo	none	-	exercism
rust-word-count	rust	cargo	none	-	exercism
rust-wordy	rust	cargo	none	-	exercism
rust-xorcism	rust	cargo	none	-	exercism
